City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Jamestown,US,42.097,-79.2353,33.44,74,100,13.8,overcast clouds
79,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,3.0,overcast clouds
80,Tilichiki,RU,60.4667,166.1,7.81,92,100,7.16,overcast clouds
81,Nikolskoye,RU,59.7035,30.7861,37.87,78,98,7.61,overcast clouds
82,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,75,10.36,broken clouds
83,Mandalgovi,MN,45.7625,106.2708,43.9,19,100,8.14,overcast clouds
84,Lebu,CL,-37.6167,-73.65,53.89,63,8,8.7,clear sky
85,Fairbanks,US,64.8378,-147.7164,10.92,78,40,3.44,scattered clouds
86,Olbia,IT,40.9214,9.4856,59.05,41,40,17.27,scattered clouds
87,Santa Rosa,PH,14.3122,121.1114,82.38,70,100,10.87,overcast clouds
88,Inhambane,MZ,-23.865,35.3833,82.76,56,3,12.53,clear sky
89,Astorga,BR,-23.2325,-51.6656,79.03,74,0,14.29,clear sky
90,Tucumcari,US,35.1717,-103.725,57.94,30,0,9.22,clear sky
91,Sept-Iles,CA,50.2001,-66.3821,33.06,58,20,16.11,few clouds
92,Port Augusta,AU,-32.5,137.7667,63.05,60,0,6.13,clear sky
93,Dikson,RU,73.5069,80.5464,-0.11,99,76,9.53,broken clouds
94,Nelspruit,ZA,-25.4745,30.9703,82.69,54,20,4.61,few clouds
95,Lomovka,RU,53.9194,58.3672,45.97,77,100,5.08,overcast clouds
96,Cap-Aux-Meules,CA,47.3821,-61.8597,33.85,75,20,18.41,few clouds
97,Vila Velha,BR,-20.3297,-40.2925,85.95,74,40,10.36,scattered clouds
98,Roald,NO,62.5833,6.1333,42.17,93,75,1.14,broken clouds
99,Nanortalik,GL,60.1432,-45.2371,38.62,79,99,1.7,overcast clouds
100,Sakaiminato,JP,35.55,133.2333,48.18,81,40,8.05,scattered clouds
101,Palora,EC,-1.7,-77.9333,71.71,82,67,1.01,broken clouds
102,Fort Wellington,GY,6.4,-57.6,79.79,83,82,9.73,broken clouds
103,Port-Gentil,GA,-0.7193,8.7815,81.45,75,87,11.63,overcast clouds
104,Harper,LR,4.375,-7.7169,85.93,67,57,11.99,broken clouds
105,Tome,CL,-36.6167,-72.95,52.41,60,8,11.07,clear sky
106,Shimoda,JP,34.6667,138.95,48.11,92,100,17.45,moderate rain
